Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1790,1790-03-20 11:54:14.788,1790-04-14 17:09:23.326,1790-04-15 06:07:07.354,12,354
1791,1791-03-20 17:49:01.984,1791-04-03 13:33:01.611,1791-04-04 05:20:23.295,12,354
1792,1792-03-19 23:32:59.921,1792-03-22 17:28:20.317,1792-03-23 05:34:38.499,13,384
1793,1793-03-20 05:20:05.614,1793-04-10 14:43:04.790,1793-04-11 06:11:25.365,12,354
1794,1794-03-20 11:16:24.048,1794-03-31 05:20:29.674,1794-03-31 05:25:05.782,12,355
1795,1795-03-20 17:04:00.381,1795-03-20 22:54:00.608,1795-03-21 05:38:13.760,13,384
1796,1796-03-19 22:54:08.500,1796-04-08 00:37:31.711,1796-04-08 06:14:41.368,12,355
1797,1797-03-20 04:47:57.572,1797-03-28 10:49:01.692,1797-03-29 05:27:20.633,13,384
1798,1798-03-20 10:39:15.676,1798-04-16 09:00:36.881,1798-04-17 06:05:00.239,12,354
1799,1799-03-20 16:31:15.251,1799-04-05 07:34:20.905,1799-04-06 06:18:02.030,12,353
1800,1800-03-20 22:11:59.891,1800-03-25 05:22:14.924,1800-03-25 05:33:27.191,13,384
1801,1801-03-21 03:55:36.783,1801-04-13 04:49:28.965,1801-04-13 06:10:21.403,12,355
1802,1802-03-21 09:48:06.743,1802-04-02 16:06:22.058,1802-04-03 05:22:41.297,12,355
1803,1803-03-21 15:33:48.886,1803-03-23 10:11:42.806,1803-03-24 05:35:44.734,13,384
1804,1804-03-20 21:17:25.315,1804-04-10 14:53:15.520,1804-04-11 06:12:25.209,12,355
1805,1805-03-21 03:04:22.783,1805-03-31 06:42:16.047,1805-04-01 05:24:54.913,13,383
1806,1806-03-21 08:52:05.914,1806-04-19 05:24:59.582,1806-04-19 06:04:00.303,12,355
1807,1807-03-21 14:41:56.381,1807-04-08 10:22:09.136,1807-04-09 06:15:42.710,12,354
1808,1808-03-20 20:29:48.815,1808-03-27 06:54:23.623,1808-03-28 05:29:42.353,13,383
