Year,OutsetYear,OutsetMoon,OutsetDay,Moons,Days
1764,1764-03-19 20:50:51.394,1764-04-01 04:19:40.239,1764-04-01 06:55:33.822,12,354
1765,1765-03-20 02:30:44.280,1765-03-21 04:51:32.005,1765-03-21 06:13:18.318,13,384
1766,1766-03-20 08:17:25.530,1766-04-09 05:29:55.834,1766-04-09 06:44:15.786,12,355
1767,1767-03-20 14:11:42.227,1767-03-29 19:11:47.750,1767-03-30 05:59:52.926,13,384
1768,1768-03-19 19:48:01.594,1768-04-16 21:55:55.557,1768-04-17 06:32:14.444,12,355
1769,1769-03-20 01:37:19.267,1769-04-06 16:13:46.530,1769-04-07 06:46:54.001,12,354
1770,1770-03-20 07:30:36.880,1770-03-27 05:21:46.873,1770-03-27 06:04:14.880,13,384
1771,1771-03-20 13:15:41.724,1771-04-15 01:09:00.445,1771-04-15 06:36:04.226,12,354
1772,1772-03-19 19:10:48.777,1772-04-03 01:13:19.302,1772-04-03 05:52:36.560,12,354
1773,1773-03-20 01:01:35.413,1773-03-22 22:18:40.186,1773-03-23 06:10:14.413,13,384
1774,1774-03-20 06:56:52.011,1774-04-10 14:29:06.000,1774-04-11 06:41:27.225,12,354
1775,1775-03-20 12:56:08.760,1775-03-30 21:41:10.129,1775-03-31 05:58:26.525,12,355
1776,1776-03-19 18:36:55.113,1776-03-19 13:00:01.425,1776-03-20 06:14:40.305,13,384
1777,1777-03-20 00:26:07.660,1777-04-07 15:10:10.204,1777-04-08 06:45:31.656,12,355
1778,1778-03-20 06:21:20.936,1778-03-28 07:25:00.374,1778-03-29 06:01:13.346,13,384
1779,1779-03-20 12:05:47.081,1779-04-16 09:47:57.770,1779-04-17 06:33:24.480,12,354
1780,1780-03-19 17:54:16.241,1780-04-04 17:39:49.822,1780-04-05 06:49:41.217,12,354
1781,1781-03-19 23:37:30.429,1781-03-24 15:31:29.705,1781-03-25 06:07:11.077,13,384
1782,1782-03-20 05:22:11.841,1782-04-12 11:12:04.095,1782-04-13 06:38:41.430,12,354
1783,1783-03-20 11:12:53.731,1783-04-01 12:24:06.714,1783-04-02 05:55:27.624,12,354
1784,1784-03-19 16:53:49.251,1784-03-21 00:03:25.676,1784-03-21 06:13:11.912,13,384
1785,1785-03-19 22:43:06.178,1785-04-09 04:08:37.388,1785-04-09 06:44:09.876,12,355
1786,1786-03-20 04:41:51.859,1786-03-29 21:53:16.415,1786-03-30 05:59:46.652,13,384
1787,1787-03-20 10:28:29.155,1787-04-18 00:00:52.440,1787-04-18 06:32:08.999,12,355
1788,1788-03-19 16:16:43.155,1788-04-06 14:01:22.861,1788-04-07 06:46:48.013,12,354
1789,1789-03-19 22:05:02.444,1789-03-26 18:15:43.069,1789-03-27 06:04:08.545,13,384
1790,1790-03-20 03:54:14.788,1790-04-14 09:09:23.326,1790-04-15 06:35:58.613,12,353
1791,1791-03-20 09:49:01.984,1791-04-03 06:33:01.611,1791-04-03 06:54:02.351,12,355
1792,1792-03-19 15:32:59.921,1792-03-22 09:28:20.317,1792-03-23 06:10:08.023,13,384
1793,1793-03-19 21:20:05.614,1793-04-10 06:43:04.790,1793-04-11 06:41:21.408,12,354
1794,1794-03-20 03:16:24.048,1794-03-30 21:20:29.674,1794-03-31 05:58:20.274,12,355
1795,1795-03-20 09:04:00.381,1795-03-20 14:54:00.608,1795-03-21 06:14:33.895,13,384
1796,1796-03-19 14:54:08.500,1796-04-07 16:37:31.711,1796-04-08 06:45:25.708,12,354
1797,1797-03-19 20:47:57.572,1797-03-28 02:49:01.692,1797-03-28 06:02:41.292,13,384
1798,1798-03-20 02:39:15.676,1798-04-16 01:00:36.881,1798-04-16 06:34:41.587,12,354
